Product Name,Product Link,Product_Description,Product Comment,Product Review,Product Upvotes
DailyDrip,https://www.producthunt.com/products/dailydrip#dailydrip,Be a better developer. Daily bite-sized videos on new tech.,26,,935
Twist 1.0,https://www.producthunt.com/products/twist#twist-1-0,More productive messaging for teams,62,1 review,862
Tara AI 1.0,https://www.producthunt.com/products/tara-ai#tara-ai-1-0,The smart and free alternative to Jira.,109,11 reviews,"1,072"
Interviews on Skype,https://www.producthunt.com/products/skype#interviews-on-skype,Test candidates using a real-time code editor over Skype,20,1 review,925
Nifty Project Management,https://www.producthunt.com/products/nifty#nifty-project-management,All-in-One Project Management Workspace.,39,9 reviews,"1,000"
To Round,https://www.producthunt.com/products/to-round#to-round,Task manager designed for visual thinkers,80,,989
Spider Free,https://www.producthunt.com/products/spider-free#spider-free,Turn websites into organized data without code.,34,3 reviews,866
Daily,https://www.producthunt.com/products/daily-co#daily-5,A personal URL for all your video calls,73,6 reviews,887
TablePlus,https://www.producthunt.com/products/tableplus#tableplus,Easily edit database data and structure,52,8 reviews,930
Pleo,https://www.producthunt.com/products/pleo#pleo-3,A company card that does your expense reports,72,1 review,"1,123"
mymind,https://www.producthunt.com/products/my-mind#mymind-82cba725-59f2-4f84-baf3-c1797165c44c,A private place for everything you care about.,157,9 reviews,929
Searchable.ai,https://www.producthunt.com/products/searchable-ai#searchable-ai,"One search across all your local, cloud and app files",80,7 reviews,"1,388"
Sortd for Slack,https://www.producthunt.com/products/sortd#sortd-for-slack-2,Get Trello-style project boards right in your Slack!,62,,885
Notion Web Designer Hub,https://www.producthunt.com/products/notion-web-designer-hub#notion-web-designer-hub,All-in-one hub for managing your web design projects,76,8 reviews,"1,219"
Cohere,https://www.producthunt.com/products/cohere#cohere,"Observe and interact with users, live",164,17 reviews,"1,057"
404 Illustrations,https://www.producthunt.com/products/404-illustrations#404-illustrations,Open-source catchy illustrations for perfect error pages,32,2 reviews,996
Eva Colors,https://www.producthunt.com/products/eva-design-system#eva-colors,Deep learning color generator,17,1 review,908
Remotion 2.0,https://www.producthunt.com/products/remotion#remotion-2-0,"A virtual office for your hybrid team, right on your desktop",182,21 reviews,987
Merge,https://www.producthunt.com/products/merge#merge,To-do list app for couples living together,89,5 reviews,948
Uhive,https://www.producthunt.com/products/uhive-social-network#uhive,"Uhive is a decentralized, creator-first social metaverse",587,11 reviews,"2,463"
Walling,https://www.producthunt.com/products/walling#walling,A better way to organize and refine ideas.,79,5 reviews,914
Hugo 2.0,https://www.producthunt.com/products/hugo#hugo-2-0,"Better meetings through centralized, actionable notes",147,26 reviews,"1,341"
Jiffy Reader,https://www.producthunt.com/products/jiffy-reader#jiffy-reader,Read anything on the internet faster and more clearly,94,3 reviews,848
Framer Motion,https://www.producthunt.com/products/framer#framer-motion,A truly simple production-ready React animation library,13,,896
Collect by FontBase,https://www.producthunt.com/products/fontbase#collect-by-fontbase,Use any Google fonts in a single click!,7,,886
Community OS by Threado,https://www.producthunt.com/products/community-os-by-threado#community-os-by-threado,800+ community resources and Notion workbook for free,230,14 reviews,950
Warmbox,https://www.producthunt.com/products/warmbox#warmbox,Warm-up your inbox and never land in spam,95,9 reviews,788
Opal C1,https://www.producthunt.com/products/opal-c1#opal-c1,The first professional web camera that helps you look better,89,8 reviews,922
Vowel 1.0,https://www.producthunt.com/products/vowel#vowel-1-0,The easiest way to have productive meetings,387,8 reviews,900
Kin Habits,https://www.producthunt.com/products/kin-habits#kin-habits,Build healthy habits with friends,90,5 reviews,860
Loopple,https://www.producthunt.com/products/loopple#loopple,Drag & drop dashboard builder,223,17 reviews,945
Startup Video Directory by Type Studio,https://www.producthunt.com/products/type-studio#startup-video-directory-by-type-studio,A curated list of the best startup product videos,118,9 reviews,775
Brain.fm for iOS,https://www.producthunt.com/products/brain-fm#brain-fm-for-ios,"Music for the brain to improve focus, meditation & sleep",107,,"1,111"
Notion Charts,https://www.producthunt.com/products/notion-charts#notion-charts-2,"Generate embeddable charts, beautifully optimized for Notion",29,3 reviews,937
Slack 4.0,https://www.producthunt.com/products/slack#slack-4-0,"A snappier, more efficient Slack desktop experience",34,1 review,907
GradeProof,https://www.producthunt.com/products/gradeproof#gradeproof,Proofreading with Artificial Intelligence,26,,926
AppLaunchpad 2.0,https://www.producthunt.com/products/applaunchpad#applaunchpad-2-0,"Create App Store images with new templates, devices + iPad📱🎉",66,3 reviews,873
Hypernotes,https://www.producthunt.com/products/zenkit#hypernotes,"Create, share, and understand knowledge in a new way",217,25 reviews,908
Workflow for Apple Watch,https://www.producthunt.com/products/workflow-for-apple-watch#workflow-for-apple-watch,Automate things you do every day from the Apple Watch,19,,847
HVMN Ketone,https://www.producthunt.com/products/hvmn#hvmn-ketone,The world's first and only ketone ester,77,2 reviews,949
Alloy Automation,https://www.producthunt.com/products/alloy-automation#alloy-automation,"Complex automation made easy, and with no code",35,4 reviews,924
Venture Reads,https://www.producthunt.com/products/venture-reads#venture-reads,"The best resources created by VCs, Firms, and Angels",28,,837
Command,https://www.producthunt.com/products/command#command,Making the web better with Slack-like slash commands.,52,,806
illustrio 2.0,https://www.producthunt.com/products/illustrio#illustrio-2-0,Infinitely customizable icons for everyone.,38,1 review,"1,043"
Button for Google Calendar™,https://www.producthunt.com/products/button-for-google-calendar#button-for-google-calendar,See your daily schedule and join meetings in one-click.,217,19 reviews,777
kbar,https://www.producthunt.com/posts/kbar,Add a beautiful & extensible cmd+k interface to your site,41,,834
Playbook,https://www.producthunt.com/products/the-lean-product-playbook#playbook-5,"Dropbox for creatives to see everything, find anything",125,11 reviews,967
Rows,https://www.producthunt.com/products/rows#rows-1,The spreadsheet with superpowers,110,8 reviews,906
Remote Tools,https://www.producthunt.com/products/remotetools#remote-tools,A repository of handpicked tools for remote teams,34,1 review,"1,074"
Proofree,https://www.producthunt.com/products/proofree#proofree,Free proof-reading by humans.,61,,868
Timely,https://www.producthunt.com/products/timely-2#timely-6,Automatic time tracking for freelancers and teams.,66,1 review,969
Café Wifi Search 🔍,https://www.producthunt.com/products/cafe-wifi-search#cafe-wifi-search,"Find great cafés to work from, worldwide.",36,,877
Free Minimal Logos,https://www.producthunt.com/products/free-minimal-logos#free-minimal-logos,A collection of free minimal logos - in Powerpoint format!?!,17,,852
Little Snitch 4,https://www.producthunt.com/products/launchbar-6#little-snitch-4,Shows connection alerts when apps are connecting,13,,885
Thought Train,https://www.producthunt.com/products/thought-train#thought-train,Stop using sticky notes to remember what you're doing 📒 🚫,58,7 reviews,888
Email List Verify,https://www.producthunt.com/products/email-list-verify#email-list-verify,Remove hard bounces and email traps from your email lists,104,4 reviews,843
Stand App,https://www.producthunt.com/products/stand-app#stand-app,A simple Mac app to make standing a habit,25,1 review,805
Bottts,https://www.producthunt.com/products/bottts#bottts,Mix & match robots with a Sketch library,39,6 reviews,900
Paws for Trello,https://www.producthunt.com/products/paws-for-trello#paws-for-trello,A beautiful Mac & Windows app for Trello,52,,784
Shape Up,https://www.producthunt.com/products/basecamp#shape-up,Book about product management  from Ryan Singer of Basecamp,28,4 reviews,813
Daisy Disk 4.0,https://www.producthunt.com/products/daisy-disk#daisy-disk-4-0,Analyze disk usage and free up disk space on your Mac,38,,788
Marker 2.0,https://www.producthunt.com/products/marker-2#marker-2-0,"Send badass screenshots to Slack, Trello, Github and more",58,,803
Smallchat Beta,https://www.producthunt.com/products/smallchat#smallchat-beta,Slack integration for chatting with visitors to your website,51,,877
Meet by Google,https://www.producthunt.com/products/google-meet#meet-by-google,Enterprise-friendly version of Google Hangouts,46,1 review,844
What Font Is,https://www.producthunt.com/products/what-font-is#what-font-is,Find any font from any image (commercial or free)-WhatFontIs,24,4 reviews,892
Zoom,https://www.producthunt.com/products/zoom#zoom-4,Cloud video conferencing and simple online meetings,65,9 reviews,909
Pock,https://www.producthunt.com/products/pock#pock,Widgets manager for MacBook Touch Bar,42,5 reviews,836
Kona,https://www.producthunt.com/products/eq-remote-managers-2020-report#kona-2,Build remote team culture in Slack,200,25 reviews,918
TLDR This,https://www.producthunt.com/products/hacker-yogi#tldr-this,Automatically summarize any article or webpage in a click.,50,6 reviews,874
Apiway.ai,https://www.producthunt.com/products/apiway#apiway-ai,Connect apps with each other,102,12 reviews,950
Assist,https://www.producthunt.com/products/assist-2#assist-2,Bring the best services to your favorite messaging apps,89,,813
RealtimeBoard 2.0 (Miro since 2019),https://www.producthunt.com/products/miro#realtimeboard-2-0-miro-since-2019,Web-based whiteboarding & team collaboration tool,29,4 reviews,925
Insight.io for GitHub,https://www.producthunt.com/products/insight-io-for-github#insight-io-for-github,Navigate GitHub like it's in your IDE,30,5 reviews,850
Templates by Slite,https://www.producthunt.com/products/slite#templates-by-slite,A collection of work templates made just for your team,26,2 reviews,825
Stack 2.0,https://www.producthunt.com/products/stack-6#stack-2-0-3,Stack is an internet launchpad for multitaskers,87,10 reviews,"1,006"
Motion,https://www.producthunt.com/products/motion-4#motion-3,Never get distracted on the internet again,132,6 reviews,930
Listory,https://www.producthunt.com/products/listory-2#listory-2,Empowering you with content that’s worth your time,94,1 review,"1,339"
Shippn,https://www.producthunt.com/products/shippn#shippn,Shop from 10 countries that don't ship to your country.,48,,"1,073"
RecordScreen.io,https://www.producthunt.com/products/recordscreen-io#recordscreen-io,Record screen right from browser. No installation required.,56,2 reviews,875
Trends Everywhere,https://www.producthunt.com/products/trends-everywhere#trends-everywhere,The easiest way for data people to track internet trends,56,10 reviews,882
Dofo.com,https://www.producthunt.com/products/dofo#dofo-com,Google of domain names,56,4 reviews,919
Reform Free,https://www.producthunt.com/products/reform#reform-free,100% free no-code form builder,101,,790
Luna Display,https://www.producthunt.com/products/luna-display-2#luna-display-2,Hardware that turns the iPad into a wireless second display,50,7 reviews,905
CTO.ai,https://www.producthunt.com/products/cto-ai#cto-ai,"Build, share & run developer workflows in the CLI + Slack",271,24 reviews,"1,072"
Habit List,https://www.producthunt.com/products/habit-list#habit-list,Manage habits w/ a clean interface showing streaks & trends,32,,791
Cohere Chime,https://www.producthunt.com/products/cohere-chime#cohere-chime-2,Let customers call you with one click and zero setup.,85,6 reviews,802
Burner Mail,https://www.producthunt.com/products/burner-mail-2#burner-mail,Stop giving away your personal information,40,1 review,840
Bartender 2,https://www.producthunt.com/products/bartender#bartender-2,Organize and hide menu bar items on your Mac,33,,983
Indify,https://www.producthunt.com/products/pindify#indify-2,Customizable widgets for your Notion docs,85,9 reviews,926
Hedwig,https://www.producthunt.com/products/hedwig#hedwig,Schedule texts and never forget what's most important,101,1 review,806
Autopilot,https://www.producthunt.com/products/autopilot-4#onautopilot,"Your perfect morning, every morning",159,9 reviews,739
Be a Deletist 🚫,https://www.producthunt.com/products/be-a-deletist#be-a-deletist,"Delete your data footprint, go private and make more time.",31,,854
Winds 2.0,https://www.producthunt.com/products/getstream-io#winds-2-0,Open source podcast & RSS desktop app,53,4 reviews,854
Bonjour App for Zoom,https://www.producthunt.com/products/bonjour-app-for-zoom#bonjour-app-for-zoom,"View and update Salesforce, within Zoom",447,38 reviews,"1,272"
Auto Subtitles by Type Studio,https://www.producthunt.com/products/type-studio#auto-subtitles-by-type-studio,A fast & easy way to add auto subtitles to your video online,118,3 reviews,892
Marionette Studio,https://www.producthunt.com/products/marionettestudio#marionette-studio,Animate everything online,41,4 reviews,856
Supernotes,https://www.producthunt.com/products/supernotes#supernotes,The collaborative note-taking app,57,5 reviews,899
Lattice,https://www.producthunt.com/products/lattice#lattice-3,Performance management for growing companies,43,,777
"Craft Freehand, from InVision",https://www.producthunt.com/products/invision#craft-freehand-from-invision,"A fast, flexible new way to collaborate, in real time",24,,825
Taskade 2.0,https://www.producthunt.com/products/taskade#taskade-2-0,"Team tasks, notes, and chat, in one unified workspace. 🧠✍️✅",122,20 reviews,"1,605"
Maze Templates,https://www.producthunt.com/products/grow-v3#maze-templates,A library of pre-made user tests and surveys,74,8 reviews,728
Eagle App,https://www.producthunt.com/products/eagle#eagle-app,Unify your creative files in one place.,65,16 reviews,952
My WiFi Sign,https://www.producthunt.com/products/my-wifi-sign#my-wifi-sign,Quickly create a sign with your WiFi credentials.,26,2 reviews,822
speed-test-cli,https://www.producthunt.com/products/speed-test-cli#speed-test-cli,Test your download speed using SpeedTest on the command-line,17,5 reviews,804
GrowthHackList,https://www.producthunt.com/products/growthhacklist#growthhacklist,100+ curated growth hacks for makers + early stage startups,32,8 reviews,"1,007"
Copia for Mac,https://www.producthunt.com/products/tomatoes#copia-for-mac,Smart and elegant clipboard manager for Mac,63,3 reviews,838
Maker Mind,https://www.producthunt.com/products/instalist#maker-mind,The mindful productivity newsletter 💌🧠,112,11 reviews,"1,224"
RightFont for Mac,https://www.producthunt.com/products/rightfont-app#rightfont-for-mac,Helping designers find the right font quickly,22,,764
Openbase,https://www.producthunt.com/products/openbase#openbase,Choose the right open-source package every time,104,2 reviews,922
Empower,https://www.producthunt.com/products/empower#empower,"Take control of your money, budget, debt & savings",86,,856
Mental Models,https://www.producthunt.com/products/mental-models#mental-models-2,Thinking tools to help you navigate life better,53,2 reviews,865
Page,https://www.producthunt.com/products/security-page-checklist#page-2,One single username for all of your social profiles,61,2 reviews,"1,252"
FileRoom.io,https://www.producthunt.com/products/fileroom-io#fileroom-io,"Browser airdrop to send files to anyone, on any device",43,7 reviews,844
Writefull for Chrome,https://www.producthunt.com/products/writefull#writefull-for-chrome,Writing with confidence,41,,775
Airtable Marketplace,https://www.producthunt.com/products/airtable#airtable-marketplace-2,Create fully customized applications,18,2 reviews,789
RemoteOnly,https://www.producthunt.com/products/remoteonly#remoteonly,Get a job you can do from anywhere in the world.,12,,940
Fireflies.ai for Meetings,https://www.producthunt.com/products/fireflies-ai#fireflies-ai-for-meetings,"Record, transcribe and search your calls",65,15 reviews,893
React Proto,https://www.producthunt.com/products/react-proto#react-proto,React application design and prototyping tool,19,3 reviews,857
Perfect Quote,https://www.producthunt.com/products/perfect-quote#perfect-quote,Use AI to find quotes that match any image (iOS and Android),51,3 reviews,930
Grist,https://www.producthunt.com/products/grist#grist-2,"Evolution of spreadsheets to organize your data, your way",141,9 reviews,910
Klokki for Mac,https://www.producthunt.com/products/klokki#klokki-for-mac,Rule-based automatic time-tracking,73,7 reviews,815
Dive,https://www.producthunt.com/posts/dive-4,Stop hating meetings,201,8 reviews,899
Stack 3.0,https://www.producthunt.com/products/stack-6#stack-3-0,Smart browser for internet multitaskers,147,25 reviews,"1,705"
Maccy,https://www.producthunt.com/products/maccy#maccy,Lightweight open-source clipboard manager for macOS,91,6 reviews,810
